pollster,grade,population,end_date,yes,sample_size,no,pollster_rating_id
Morning Consult,1.0,a,2021-10-20,46.0,45000.0,47.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-19,41.0,1500.0,58.0,277
YouGov,0.93,rv,2021-10-19,45.0,1268.0,48.0,391
Beacon Research/Shaw & Company,1.0,rv,2021-10-19,46.0,1003.0,53.0,103
Echelon Insights,0.9,lv,2021-10-19,48.0,915.0,51.0,407
Morning Consult,1.0,a,2021-10-19,46.0,45000.0,47.0,218
Gallup,1.05,a,2021-10-19,42.0,823.0,52.0,112
Morning Consult,1.0,rv,2021-10-18,45.0,1998.0,52.0,218
Quinnipiac,1.0,rv,2021-10-18,40.0,1168.0,51.0,267
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-18,42.0,1500.0,56.0,277
McLaughlin,0.4,lv,2021-10-18,45.0,1000.0,54.0,203
Morning Consult,1.0,a,2021-10-18,46.0,45000.0,47.0,218
Climate Nexus,0.6,rv,2021-10-18,46.0,2678.0,50.0,506
Redfield & Wilton Strategies,0.3,rv,2021-10-17,43.0,1500.0,39.0,562
Hart Research Associates/Public Opinion Strategies,1.1,a,2021-10-17,41.0,800.0,52.0,221
Morning Consult,1.0,a,2021-10-17,49.0,2200.0,45.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-17,42.0,1500.0,56.0,277
Selzer,1.3,lv,2021-10-17,40.0,735.0,51.0,304
Morning Consult,1.0,a,2021-10-17,46.0,45000.0,47.0,218
RMG Research,0.85,rv,2021-10-16,47.0,1200.0,48.0,555
Morning Consult,1.0,a,2021-10-16,46.0,45000.0,47.0,218
Morning Consult,1.0,a,2021-10-15,48.0,2200.0,47.0,218
Morning Consult,1.0,a,2021-10-15,46.0,45000.0,47.0,218
Ipsos,1.05,a,2021-10-14,46.08,1005.0,48.08,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-14,43.0,1500.0,56.0,277
"Cor Services, Inc.",0.6,lv,2021-10-14,40.0,508.0,56.0,688
Morning Consult,1.0,a,2021-10-14,46.0,45000.0,47.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-13,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-10-13,48.0,2201.0,47.0,218
RMG Research,0.85,rv,2021-10-13,43.0,1200.0,47.0,555
Morning Consult,1.0,a,2021-10-13,46.0,45000.0,47.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-12,43.0,1500.0,56.0,277
YouGov,0.93,rv,2021-10-12,42.0,1266.0,51.0,391
Morning Consult,1.0,a,2021-10-12,47.0,2200.0,48.0,218
Morning Consult,1.0,a,2021-10-12,46.0,2200.0,49.0,218
Morning Consult,1.0,a,2021-10-12,47.0,2200.0,48.0,218
Morning Consult,1.0,a,2021-10-12,46.0,45000.0,47.0,218
Morning Consult,1.0,rv,2021-10-11,46.0,1999.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-11,41.0,1500.0,57.0,277
SSRS,0.65,rv,2021-10-11,50.0,,50.0,297
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-10-11,46.0,1001.0,51.0,413
Morning Consult,1.0,a,2021-10-11,46.0,45000.0,47.0,218
Léger,0.9,a,2021-10-10,45.0,1000.0,53.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-10,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-10-10,46.0,45000.0,47.0,218
RMG Research,0.85,rv,2021-10-09,47.0,1200.0,50.0,555
Morning Consult,1.0,a,2021-10-09,46.0,45000.0,47.0,218
YouGov,0.93,a,2021-10-08,50.0,2054.0,50.0,391
Morning Consult,1.0,a,2021-10-08,49.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-10-08,46.0,45000.0,47.0,218
Ipsos,1.05,a,2021-10-07,48.35,1005.0,46.8,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-07,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-10-07,45.0,45000.0,47.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-06,43.0,1500.0,55.0,277
Trafalgar Group,1.05,lv,2021-10-06,39.6,1087.0,56.0,338
"Cor Services, Inc.",0.6,lv,2021-10-06,39.0,516.0,53.0,688
Morning Consult,1.0,a,2021-10-06,45.0,45000.0,47.0,218
Redfield & Wilton Strategies,0.3,rv,2021-10-05,45.0,1500.0,37.0,562
YouGov,0.93,rv,2021-10-05,44.0,1261.0,49.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-05,45.0,1500.0,54.0,277
Morning Consult,1.0,a,2021-10-05,46.0,45000.0,47.0,218
Morning Consult,1.0,rv,2021-10-04,45.0,1998.0,52.0,218
Quinnipiac,1.0,rv,2021-10-04,40.0,1177.0,53.0,267
Morning Consult,1.0,a,2021-10-04,45.0,2200.0,49.0,218
YouGov,0.93,a,2021-10-04,42.0,1640.0,50.0,391
Morning Consult,1.0,a,2021-10-04,46.0,4400.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-04,43.0,1500.0,55.0,277
Morning Consult,1.0,a,2021-10-04,46.0,45000.0,47.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-10-03,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-10-03,46.0,45000.0,47.0,218
TIPP,1.3,a,2021-10-02,44.0,1308.0,40.0,144
Morning Consult,1.0,a,2021-10-02,45.0,45000.0,47.0,218
PPP,1.0,rv,2021-10-01,46.0,758.0,47.0,263
Morning Consult,1.0,a,2021-10-01,45.0,45000.0,47.0,218
Ipsos,1.05,a,2021-09-30,45.77,1005.0,49.92,154
Morning Consult,1.0,a,2021-09-30,46.0,2200.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-30,42.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-09-30,45.0,45000.0,47.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-29,42.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-09-29,49.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-09-29,48.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-09-29,45.0,45000.0,47.0,218
Public Religion Research Institute,0.9,a,2021-09-29,52.0,2508.0,48.0,428
HarrisX,1.05,rv,2021-09-28,48.0,935.0,43.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-28,42.0,1500.0,56.0,277
YouGov,0.93,rv,2021-09-28,43.0,1246.0,51.0,391
Morning Consult,1.0,a,2021-09-28,45.0,45000.0,47.0,218
Morning Consult,1.0,rv,2021-09-27,47.0,1999.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-27,41.0,1500.0,58.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-09-27,46.0,1000.0,51.0,413
AP-NORC,0.6,a,2021-09-27,50.0,1099.0,49.0,397
Morning Consult,1.0,a,2021-09-27,45.0,45000.0,47.0,218
Léger,0.9,a,2021-09-26,46.0,1001.0,52.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-26,40.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-09-26,46.0,45000.0,47.0,218
Marist,1.0,rv,2021-09-26,46.0,1029.0,46.0,183
HarrisX,1.05,rv,2021-09-25,47.0,935.0,42.0,133
RMG Research,0.85,rv,2021-09-25,45.0,1200.0,48.0,555
Morning Consult,1.0,a,2021-09-25,47.0,2200.0,49.0,218
Morning Consult,1.0,a,2021-09-25,46.0,45000.0,46.0,218
Morning Consult,1.0,a,2021-09-24,46.0,45000.0,46.0,218
Ipsos,1.05,a,2021-09-23,44.21,1005.0,50.77,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-23,42.0,1500.0,56.0,277
Echelon Insights,0.9,lv,2021-09-23,53.0,829.0,47.0,407
Morning Consult,1.0,a,2021-09-23,47.0,45000.0,46.0,218
RMG Research,0.85,rv,2021-09-22,47.0,1200.0,47.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-22,45.0,1500.0,54.0,277
Morning Consult,1.0,a,2021-09-22,47.0,45000.0,46.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-21,45.0,1500.0,55.0,277
YouGov,0.93,rv,2021-09-21,46.0,1281.0,48.0,391
Morning Consult,1.0,a,2021-09-21,49.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-09-21,47.0,45000.0,46.0,218
Redfield & Wilton Strategies,0.3,rv,2021-09-20,45.0,1500.0,34.0,562
Morning Consult,1.0,rv,2021-09-20,47.0,1998.0,50.0,218
American Research Group,0.75,rv,2021-09-20,51.0,991.0,46.0,9
Morning Consult,1.0,a,2021-09-20,49.0,2200.0,44.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-20,44.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-09-20,46.0,4400.0,48.0,218
YouGov,0.93,a,2021-09-20,45.0,3201.0,50.0,391
Morning Consult,1.0,a,2021-09-20,47.0,45000.0,46.0,218
Bullfinch,0.6,rv,2021-09-19,49.0,1000.0,47.0,692
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-19,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-09-19,47.0,45000.0,46.0,218
Pew,0.9,a,2021-09-19,44.0,10371.0,53.0,253
RMG Research,0.85,rv,2021-09-18,48.0,1200.0,48.0,555
Morning Consult,1.0,a,2021-09-18,49.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-09-18,46.0,45000.0,46.0,218
Morning Consult,1.0,a,2021-09-17,46.0,45000.0,46.0,218
Gallup,1.05,a,2021-09-17,43.0,1005.0,53.0,112
Ipsos,1.05,a,2021-09-16,44.36,1005.0,50.3,154
Harris Poll,1.05,rv,2021-09-16,48.0,1578.0,50.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-16,43.0,1500.0,55.0,277
Morning Consult,1.0,a,2021-09-16,51.0,2200.0,44.0,218
Morning Consult,1.0,a,2021-09-16,46.0,45000.0,46.0,218
Marquette Law School,1.08,a,2021-09-16,48.0,1411.0,52.0,195
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-15,44.0,1500.0,55.0,277
Beacon Research/Shaw & Company,1.0,rv,2021-09-15,50.0,1002.0,49.0,103
Morning Consult,1.0,a,2021-09-15,46.0,45000.0,46.0,218
YouGov,0.93,rv,2021-09-14,46.0,1252.0,49.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-14,44.0,1500.0,55.0,277
McLaughlin,0.4,lv,2021-09-14,47.0,1000.0,52.0,203
Morning Consult,1.0,a,2021-09-14,47.0,45000.0,46.0,218
Morning Consult,1.0,a,2021-09-13,49.0,2200.0,45.0,218
Morning Consult,1.0,rv,2021-09-13,47.0,1997.0,50.0,218
Morning Consult,1.0,a,2021-09-13,48.0,4400.0,46.0,218
Léger,0.9,a,2021-09-13,48.0,1002.0,50.0,572
Quinnipiac,1.0,rv,2021-09-13,44.0,1079.0,50.0,267
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-13,45.0,1500.0,53.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-09-13,49.0,995.0,49.0,413
Monmouth U.,1.0,rv,2021-09-13,47.0,747.0,46.0,215
Morning Consult,1.0,a,2021-09-13,47.0,45000.0,46.0,218
Morning Consult,1.0,rv,2021-09-12,47.0,16843.0,49.0,218
Morning Consult,1.0,a,2021-09-12,48.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-09-12,48.0,2200.0,47.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-12,46.0,1500.0,52.0,277
Morning Consult,1.0,a,2021-09-12,47.0,45000.0,45.0,218
RMG Research,0.85,rv,2021-09-11,47.0,1200.0,48.0,555
HarrisX,1.05,rv,2021-09-11,47.0,958.0,44.0,133
Morning Consult,1.0,a,2021-09-11,47.0,2200.0,48.0,218
Morning Consult,1.0,a,2021-09-11,47.0,45000.0,45.0,218
Morning Consult,1.0,a,2021-09-10,47.0,45000.0,45.0,218
Ipsos,1.05,a,2021-09-09,47.03,1005.0,46.16,154
Trafalgar Group,1.05,lv,2021-09-09,43.5,1086.0,54.3,338
HarrisX,1.05,rv,2021-09-09,55.0,1803.0,45.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-09,46.0,1500.0,52.0,277
YouGov,0.93,a,2021-09-09,50.0,2011.0,50.0,391
Morning Consult,1.0,a,2021-09-09,47.0,45000.0,45.0,218
Echelon Insights,0.9,a,2021-09-08,48.0,1000.0,46.0,407
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-08,46.0,1500.0,52.0,277
Morning Consult,1.0,rv,2021-09-08,47.0,18732.0,49.0,218
Winston,0.9,rv,2021-09-08,46.0,1000.0,44.0,385
Morning Consult,1.0,a,2021-09-08,47.0,45000.0,45.0,218
POS,1.0,rv,2021-09-08,48.0,800.0,50.0,260
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-07,46.0,1500.0,53.0,277
YouGov,0.93,rv,2021-09-07,43.0,1264.0,52.0,391
Morning Consult,1.0,a,2021-09-07,46.0,45000.0,45.0,218
SSRS,0.65,rv,2021-09-07,50.0,1838.0,50.0,297
Morning Consult,1.0,rv,2021-09-06,47.0,17494.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-06,47.0,1500.0,52.0,277
Morning Consult,1.0,a,2021-09-06,50.0,2200.0,44.0,218
Morning Consult,1.0,a,2021-09-06,48.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-09-06,46.0,45000.0,45.0,218
Redfield & Wilton Strategies,0.3,rv,2021-09-05,46.0,1500.0,36.0,562
RMG Research,0.85,rv,2021-09-05,42.0,1200.0,52.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-05,46.0,1500.0,52.0,277
Morning Consult,1.0,a,2021-09-05,47.0,45000.0,45.0,218
Morning Consult,1.0,a,2021-09-04,47.0,45000.0,45.0,218
TIPP,1.3,rv,2021-09-03,47.0,1044.0,45.0,144
Morning Consult,1.0,a,2021-09-03,47.0,45000.0,45.0,218
Ipsos,1.05,a,2021-09-02,45.94,1005.0,48.26,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-02,44.0,1500.0,54.0,277
Morning Consult,1.0,a,2021-09-02,49.0,2200.0,46.0,218
Change Research,0.85,rv,2021-09-02,46.0,1775.0,54.0,48
Morning Consult,1.0,a,2021-09-02,47.0,45000.0,45.0,218
Morning Consult,1.0,rv,2021-09-02,49.0,7988.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-09-01,42.0,1500.0,56.0,277
YouGov,0.93,a,2021-09-01,44.0,1605.0,49.0,391
Emerson College Polling Society,1.05,rv,2021-09-01,45.8,1200.0,46.9,88
ABC/Washington Post,1.2,a,2021-09-01,44.0,1006.0,51.0,3
Morning Consult,1.0,a,2021-09-01,48.0,45000.0,45.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-31,42.0,1500.0,56.0,277
YouGov,0.93,rv,2021-08-31,47.0,1262.0,46.0,391
Marist,1.0,rv,2021-08-31,43.0,1145.0,51.0,183
Morning Consult,1.0,a,2021-08-31,48.0,45000.0,44.0,218
Morning Consult,1.0,rv,2021-08-30,47.0,1997.0,49.0,218
Léger,0.9,a,2021-08-30,48.0,1004.0,49.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-30,44.0,1500.0,54.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-08-30,47.0,1002.0,50.0,413
Morning Consult,1.0,a,2021-08-30,49.0,45000.0,44.0,218
Morning Consult,1.0,rv,2021-08-29,48.0,15623.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-29,45.0,1500.0,54.0,277
Morning Consult,1.0,a,2021-08-29,48.0,2200.0,45.0,218
Morning Consult,1.0,a,2021-08-29,49.0,45000.0,44.0,218
Morning Consult,1.0,a,2021-08-28,53.0,2200.0,44.0,218
Morning Consult,1.0,a,2021-08-28,49.0,45000.0,44.0,218
Morning Consult,1.0,a,2021-08-27,49.0,45000.0,43.0,218
Ipsos,1.05,a,2021-08-26,49.06,1006.0,46.01,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-26,45.0,1500.0,53.0,277
Morning Consult,1.0,a,2021-08-26,49.0,45000.0,43.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-25,44.0,1500.0,55.0,277
Morning Consult,1.0,a,2021-08-25,51.0,2200.0,44.0,218
Morning Consult,1.0,a,2021-08-25,49.0,45000.0,43.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-24,44.0,1500.0,55.0,277
Morning Consult,1.0,a,2021-08-24,52.0,2200.0,43.0,218
Morning Consult,1.0,rv,2021-08-24,50.0,1996.0,48.0,218
YouGov,0.93,rv,2021-08-24,48.0,1242.0,46.0,391
Morning Consult,1.0,a,2021-08-24,49.0,45000.0,43.0,218
"Cor Services, Inc.",0.6,lv,2021-08-24,40.0,618.0,50.0,688
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-23,44.0,1500.0,55.0,277
Suffolk,1.0,rv,2021-08-23,41.2,1000.0,55.1,323
Morning Consult,1.0,a,2021-08-23,52.0,2200.0,43.0,218
Morning Consult,1.0,a,2021-08-23,50.0,45000.0,43.0,218
HarrisX,1.05,rv,2021-08-22,49.0,2846.0,43.0,133
RMG Research,0.85,rv,2021-08-22,46.0,1200.0,46.0,555
Morning Consult,1.0,a,2021-08-22,51.0,2201.0,45.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-22,46.0,1500.0,53.0,277
Morning Consult,1.0,a,2021-08-22,50.0,45000.0,42.0,218
Morning Consult,1.0,a,2021-08-21,50.0,45000.0,42.0,218
YouGov,0.93,a,2021-08-20,50.0,2142.0,50.0,391
American Research Group,0.75,rv,2021-08-20,50.0,992.0,46.0,9
Morning Consult,1.0,a,2021-08-20,51.0,45000.0,42.0,218
Ipsos,1.05,a,2021-08-19,46.07,1002.0,49.01,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-19,46.0,1500.0,53.0,277
Morning Consult,1.0,rv,2021-08-19,50.0,1999.0,47.0,218
Morning Consult,1.0,a,2021-08-19,51.0,45000.0,42.0,218
Ipsos,1.05,a,2021-08-19,50.0,4427.0,44.0,154
SurveyMonkey,0.75,a,2021-08-18,47.0,1066.0,45.0,324
YouGov,0.93,a,2021-08-18,47.0,1649.0,46.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-18,46.0,1500.0,53.0,277
Echelon Insights,0.9,rv,2021-08-18,52.0,1016.0,46.0,407
Susquehanna,0.93,lv,2021-08-18,49.0,800.0,45.0,326
Morning Consult,1.0,a,2021-08-18,51.0,45000.0,41.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-17,46.0,1500.0,54.0,277
YouGov,0.93,rv,2021-08-17,47.0,1250.0,47.0,391
Hart Research Associates/Public Opinion Strategies,1.1,rv,2021-08-17,50.0,790.0,48.0,221
Morning Consult,1.0,a,2021-08-17,52.0,45000.0,40.0,218
Gallup,1.05,a,2021-08-17,49.0,1006.0,48.0,112
John Zogby Strategies,0.9,a,2021-08-16,51.8,956.0,42.3,583
Ipsos,1.05,a,2021-08-16,46.0,947.0,47.0,154
Morning Consult,1.0,rv,2021-08-16,51.0,1999.0,46.0,218
Morning Consult,1.0,a,2021-08-16,54.0,2200.0,40.0,218
Morning Consult,1.0,a,2021-08-16,52.0,2200.0,43.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-16,45.0,1500.0,54.0,277
Morning Consult,1.0,a,2021-08-16,56.0,2200.0,40.0,218
AP-NORC,0.6,a,2021-08-16,54.0,1729.0,46.0,397
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-08-16,50.0,1001.0,46.0,413
Morning Consult,1.0,a,2021-08-16,52.0,45000.0,40.0,218
Léger,0.9,a,2021-08-15,51.0,1005.0,47.0,572
Ipsos,1.05,a,2021-08-15,53.0,1198.0,41.0,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-15,46.0,1500.0,53.0,277
Morning Consult,1.0,a,2021-08-15,55.0,2200.0,41.0,218
Morning Consult,1.0,a,2021-08-15,52.0,45000.0,40.0,218
Morning Consult,1.0,rv,2021-08-14,51.0,15000.0,45.0,218
Morning Consult,1.0,a,2021-08-14,52.0,45000.0,40.0,218
Morning Consult,1.0,a,2021-08-13,56.0,2200.0,40.0,218
Morning Consult,1.0,a,2021-08-13,52.0,45000.0,40.0,218
Ipsos,1.05,a,2021-08-12,51.26,1002.0,43.04,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-12,47.0,1500.0,52.0,277
Morning Consult,1.0,a,2021-08-12,51.0,45000.0,40.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-11,47.0,1500.0,52.0,277
Trafalgar Group,1.05,lv,2021-08-11,46.5,1073.0,47.5,338
Morning Consult,1.0,a,2021-08-11,51.0,45000.0,40.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-10,48.0,1500.0,50.0,277
YouGov,0.93,rv,2021-08-10,47.0,1251.0,45.0,391
Beacon Research/Shaw & Company,1.0,rv,2021-08-10,53.0,1002.0,46.0,103
Morning Consult,1.0,a,2021-08-10,51.0,45000.0,41.0,218
HarrisX,1.05,rv,2021-08-10,54.0,4918.0,40.0,133
Morning Consult,1.0,rv,2021-08-09,51.0,1996.0,46.0,218
Morning Consult,1.0,a,2021-08-09,53.0,2200.0,41.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-09,48.0,1500.0,51.0,277
Morning Consult,1.0,a,2021-08-09,51.0,45000.0,41.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-08,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-08-08,50.0,45000.0,41.0,218
Morning Consult,1.0,a,2021-08-07,51.0,45000.0,41.0,218
Morning Consult,1.0,a,2021-08-06,51.0,45000.0,40.0,218
Ipsos,1.05,a,2021-08-05,50.14,1004.0,42.69,154
HarrisX,1.05,rv,2021-08-05,55.0,1103.0,40.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-05,48.0,1500.0,51.0,277
Morning Consult,1.0,a,2021-08-05,51.0,45000.0,40.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-04,48.0,1500.0,51.0,277
Morning Consult,1.0,a,2021-08-04,51.0,45000.0,40.0,218
Redfield & Wilton Strategies,0.3,rv,2021-08-03,48.0,1500.0,36.0,562
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-03,48.0,1500.0,51.0,277
YouGov,0.93,rv,2021-08-03,49.0,1233.0,44.0,391
McLaughlin,0.4,lv,2021-08-03,54.0,1000.0,45.0,203
Morning Consult,1.0,a,2021-08-03,51.0,45000.0,41.0,218
Morning Consult,1.0,rv,2021-08-02,52.0,1998.0,46.0,218
Morning Consult,1.0,a,2021-08-02,51.0,2200.0,43.0,218
YouGov,0.93,a,2021-08-02,48.0,1552.0,44.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-02,48.0,1500.0,51.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-08-02,51.0,1000.0,46.0,413
Morning Consult,1.0,a,2021-08-02,53.0,2200.0,41.0,218
Quinnipiac,1.0,rv,2021-08-02,47.0,1145.0,44.0,267
Morning Consult,1.0,a,2021-08-02,51.0,45000.0,40.0,218
Léger,0.9,a,2021-08-01,53.0,1001.0,45.0,572
Morning Consult,1.0,a,2021-08-01,55.0,2200.0,39.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-08-01,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-08-01,51.0,45000.0,40.0,218
"Cor Services, Inc.",0.6,lv,2021-07-31,43.0,515.0,51.0,688
Morning Consult,1.0,a,2021-07-31,51.0,45000.0,40.0,218
TIPP,1.3,rv,2021-07-30,57.0,1026.0,34.0,144
Morning Consult,1.0,a,2021-07-30,52.0,45000.0,40.0,218
Morning Consult,1.0,rv,2021-07-29,51.0,2000.0,47.0,218
Ipsos,1.05,a,2021-07-29,53.83,1005.0,42.1,154
Harris Poll,1.05,rv,2021-07-29,52.0,1788.0,43.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-29,47.0,1500.0,51.0,277
Morning Consult,1.0,a,2021-07-29,52.0,45000.0,40.0,218
Marist,1.0,rv,2021-07-29,50.0,943.0,45.0,183
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-28,47.0,1500.0,51.0,277
Hart Research Associates/Public Opinion Strategies,1.1,a,2021-07-28,48.0,802.0,45.0,221
Morning Consult,1.0,a,2021-07-28,52.0,45000.0,40.0,218
WPA Intelligence,0.3,rv,2021-07-28,47.0,1000.0,44.0,383
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-27,46.0,1500.0,52.0,277
YouGov,0.93,rv,2021-07-27,49.0,1280.0,45.0,391
Morning Consult,1.0,a,2021-07-27,52.0,45000.0,40.0,218
Morning Consult,1.0,rv,2021-07-26,52.0,1997.0,45.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-26,47.0,1500.0,51.0,277
Monmouth U.,1.0,rv,2021-07-26,49.0,753.0,44.0,215
Morning Consult,1.0,a,2021-07-26,52.0,45000.0,40.0,218
Marquette Law School,1.08,a,2021-07-26,58.0,1010.0,42.0,195
Morning Consult,1.0,a,2021-07-25,54.0,2201.0,40.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-25,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-07-25,52.0,45000.0,40.0,218
Morning Consult,1.0,a,2021-07-24,52.0,45000.0,40.0,218
Echelon Insights,0.9,rv,2021-07-23,55.0,1143.0,43.0,407
Morning Consult,1.0,a,2021-07-23,52.0,45000.0,40.0,218
Ipsos,1.05,a,2021-07-22,53.98,1005.0,40.44,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-22,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-07-22,52.0,45000.0,40.0,218
HarrisX,1.05,rv,2021-07-21,58.0,949.0,42.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-21,51.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-07-21,52.0,45000.0,40.0,218
Gallup,1.05,a,2021-07-21,50.0,1007.0,45.0,112
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-20,50.0,1500.0,48.0,277
American Research Group,0.75,rv,2021-07-20,54.0,991.0,43.0,9
YouGov,0.93,rv,2021-07-20,50.0,1272.0,43.0,391
Morning Consult,1.0,a,2021-07-20,52.0,45000.0,40.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-19,51.0,1500.0,48.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-07-19,52.0,1000.0,44.0,413
AP-NORC,0.6,a,2021-07-19,59.0,1308.0,41.0,397
Morning Consult,1.0,a,2021-07-19,52.0,45000.0,39.0,218
Morning Consult,1.0,a,2021-07-19,55.0,15401.0,40.0,218
Morning Consult,1.0,rv,2021-07-18,52.0,1997.0,44.0,218
Léger,0.9,a,2021-07-18,54.0,1001.0,45.0,572
Morning Consult,1.0,a,2021-07-18,53.0,2199.0,41.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-07-18,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-07-18,52.0,45000.0,39.0,218
YouGov,0.93,a,2021-07-17,58.0,2238.0,42.0,391
Morning Consult,1.0,a,2021-07-17,53.0,45000.0,39.0,218
Sacred Heart University,0.9,a,2021-07-16,52.1,1500.0,35.7,453
